"episode_no","slug","title","source_book","source_chapter","source_verses_or_boundary","original_summary_seed","must_include","must_avoid","start_boundary","end_boundary","age_range","age_sensitivity","devotional_theme","suggested_activity_category","package_type","enabled"
"001","the-earth-prays-for-krishna","The Earth Prays for Krishna to Come","Krishna Book","1","Opening through Brahma receiving the Lord's message","Bhumi takes the form of a cow and seeks Brahma's help; at the Ocean of Milk, Brahma receives the Lord's promise within his heart.","Bhumi as cow|Brahma|Ocean of Milk|message in Brahma's heart|son of Vasudeva","direct quote promising Vrindavana birth|wedding|later events","Bhumi approaches Brahma","Brahma receives the Lord's message","6-12","gentle","prayer and hope","PRAYER_OR_GRATITUDE_CRAFT","bedtime_story","true"
"002","devaki-and-vasudeva-wedding","The Wedding and the Heavenly Voice","Krishna Book","1","SB 10.1.27-55","Devaki marries Vasudeva; her brother Kamsa drives their chariot, hears the warning about her eighth child, and is calmed by Vasudeva's truthful promise.","Kamsa brother of Devaki|son of Ugrasena|chariot driver|eighth child|Vasudeva protects Devaki","first son born|Narada warning|imprisonment","Wedding procession begins","Vasudeva makes his promise","6-12","gentle tension","calm truthfulness","CUT_AND_BUILD","bedtime_story","true"
"003","vasudeva-keeps-his-word","Vasudeva Keeps His Word","Krishna Book","1","SB 10.1.56-61","Devaki's first son is born, and Vasudeva keeps his difficult promise by bringing the child to Kamsa, who is astonished and initially returns him.","first son born|Vasudeva truthfulness|child brought to Kamsa|child initially returned","wedding retelling|Narada warning|imprisonment|six sons|Krishna birth","Birth of first son","Kamsa initially returns child","6-12","gentle tension","truthfulness and duty","FAMILY_MISSION","bedtime_story","true"
"004","narada-warns-kamsa","Narada's Warning and Kamsa's Decision","Krishna Book","1","SB 10.1.62-69","Narada warns Kamsa that the divine plan is unfolding, and fearful Kamsa imprisons Devaki and Vasudeva while taking power from Ugrasena.","Narada warning|Kamsa fear|imprisonment|Ugrasena displaced","wedding retelling|first child episode|six sons|Krishna birth","Narada approaches Kamsa","Devaki and Vasudeva imprisoned","6-12","sensitive imprisonment","seeking courage","QUICK_DISCUSSION","bedtime_story","true"
"005","prayers-by-the-demigods-for-lord-krishna-in-the-womb","Prayers by the Demigods for Lord Krishna in the Womb","Krishna Book","2","Complete Krishna Book Chapter 2","This source-bounded episode follows Prayers by the Demigods for Lord Krishna in the Womb and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 2|chronological source boundary|devotional lesson","full source quotation|material from Chapter 1|material from Chapter 3","Opening of Krishna Book Chapter 2","Conclusion of Krishna Book Chapter 2","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"006","the-birth-of-lord-krishna","The Birth of Lord Krishna","Krishna Book","3","Complete Krishna Book Chapter 3","This source-bounded episode follows The Birth of Lord Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 3|chronological source boundary|devotional lesson","full source quotation|material from Chapter 2|material from Chapter 4","Opening of Krishna Book Chapter 3","Conclusion of Krishna Book Chapter 3","6-12","standard","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
"007","kamsa-begins-his-persecutions","Kamsa Begins His Persecutions","Krishna Book","4","Complete Krishna Book Chapter 4","This source-bounded episode follows Kamsa Begins His Persecutions and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 4|chronological source boundary|devotional lesson","full source quotation|material from Chapter 3|material from Chapter 5","Opening of Krishna Book Chapter 4","Conclusion of Krishna Book Chapter 4","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"008","the-meeting-of-nanda-and-vasudeva","The Meeting of Nanda and Vasudeva","Krishna Book","5","Complete Krishna Book Chapter 5","This source-bounded episode follows The Meeting of Nanda and Vasudeva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 5|chronological source boundary|devotional lesson","full source quotation|material from Chapter 4|material from Chapter 6","Opening of Krishna Book Chapter 5","Conclusion of Krishna Book Chapter 5","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"009","baby-krishna-protects-gokula","Baby Krishna Protects Gokula","Krishna Book","6","Complete Krishna Book Chapter 6","This source-bounded episode follows Putana Killed and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 6|chronological source boundary|devotional lesson","full source quotation|material from Chapter 5|material from Chapter 7","Opening of Krishna Book Chapter 6","Conclusion of Krishna Book Chapter 6","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"010","the-salvation-of-trinavarta","The Salvation of Trinavarta","Krishna Book","7","Complete Krishna Book Chapter 7","This source-bounded episode follows The Salvation of Trinavarta and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 7|chronological source boundary|devotional lesson","full source quotation|material from Chapter 6|material from Chapter 8","Opening of Krishna Book Chapter 7","Conclusion of Krishna Book Chapter 7","6-12","standard","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"011","vision-of-the-universal-form","Vision of the Universal Form","Krishna Book","8","Complete Krishna Book Chapter 8","This source-bounded episode follows Vision of the Universal Form and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 8|chronological source boundary|devotional lesson","full source quotation|material from Chapter 7|material from Chapter 9","Opening of Krishna Book Chapter 8","Conclusion of Krishna Book Chapter 8","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"012","mother-yasoda-binds-lord-krishna","Mother Yasoda Binds Lord Krishna","Krishna Book","9","Complete Krishna Book Chapter 9","This source-bounded episode follows Mother Yasoda Binds Lord Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 9|chronological source boundary|devotional lesson","full source quotation|material from Chapter 8|material from Chapter 10","Opening of Krishna Book Chapter 9","Conclusion of Krishna Book Chapter 9","6-12","standard","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
