chapter_no,slug,title,project,library_id,source_reference,scripture_reference,summary_seed,age_range,package_type,send_date,notes,must_include,must_avoid,start_boundary,end_boundary
001,the-earth-prays-for-krishna,The Earth Prays for Krishna to Come,krishna_book_bedtime,krishna_book,Krishna Book Chapter 1,Opening through Brahma receiving the Lord's message,"Bhumi takes the form of a cow and seeks Brahma's help; at the Ocean of Milk, Brahma receives the Lord's promise within his heart.",6-12,bedtime_story,,theme=prayer and hope; sensitivity=gentle; activity=PRAYER_OR_GRATITUDE_CRAFT,Bhumi as cow|Brahma|Ocean of Milk|message in Brahma's heart|son of Vasudeva,direct quote promising Vrindavana birth|wedding|later events,Bhumi approaches Brahma,Brahma receives the Lord's message
002,devaki-and-vasudeva-wedding,The Wedding and the Heavenly Voice,krishna_book_bedtime,krishna_book,Krishna Book Chapter 1,SB 10.1.27-55,"Devaki marries Vasudeva; her brother Kamsa drives their chariot, hears the warning about her eighth child, and is calmed by Vasudeva's truthful promise.",6-12,bedtime_story,,theme=calm truthfulness; sensitivity=gentle tension; activity=CUT_AND_BUILD,Kamsa brother of Devaki|son of Ugrasena|chariot driver|eighth child|Vasudeva protects Devaki,first son born|Narada warning|imprisonment,Wedding procession begins,Vasudeva makes his promise
003,vasudeva-keeps-his-word,Vasudeva Keeps His Word,krishna_book_bedtime,krishna_book,Krishna Book Chapter 1,SB 10.1.56-61,"Devakī's first son Kīrtimān is born, and Vasudeva keeps his difficult promise by bringing him to Kaṁsa, who is astonished and initially returns him.",6-12,bedtime_story,,theme=truthfulness and wise help; sensitivity=gentle tension; activity=STORY_SEQUENCE,Kīrtimān born|Vasudeva truthfulness|Kīrtimān brought to Kaṁsa|Kaṁsa fears eighth child|Kīrtimān initially returned|Vasudeva remains cautious,wedding retelling|Narada warning|imprisonment|six sons|Krishna birth,Birth of Kīrtimān,Kaṁsa initially returns Kīrtimān
004,narada-warns-kamsa,Narada's Warning and Kamsa's Decision,krishna_book_bedtime,krishna_book,Krishna Book Chapter 1,SB 10.1.62-69,"Nārada tells Kaṁsa that demigods are appearing in the Yadu and Vṛṣṇi families; alarmed by the divine plan and his identity as Kālanemi, Kaṁsa imprisons Devakī and Vasudeva and removes Ugrasena from power while the devotees remain faithful.",6-12,bedtime_story,,theme=fear versus faith; sensitivity=child-safe imprisonment; activity=MINI_DRAMA,Nārada informs Kaṁsa|demigods in Yadu and Vṛṣṇi families|Kaṁsa alarm|Kālanemi identity|Devakī and Vasudeva imprisoned|Ugrasena removed|devotees remember the Lord,Mother Earth|Ocean of Milk|wedding retelling|first child episode|Krishna birth|graphic later sons|invented scripture quotation,Nārada approaches Kaṁsa,Devakī and Vasudeva remain composed after Kaṁsa removes Ugrasena
005,prayers-by-the-demigods-for-lord-krishna-in-the-womb,Prayers by the Demigods for Lord Krishna in the Womb,krishna_book_bedtime,krishna_book,Krishna Book Chapter 2,Complete Krishna Book Chapter 2,"This source-bounded episode follows Prayers by the Demigods for Lord Krishna in the Womb and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_SEQUENCE,central event of Chapter 2|chronological source boundary|devotional lesson,full source quotation|material from Chapter 1|material from Chapter 3,Opening of Krishna Book Chapter 2,Conclusion of Krishna Book Chapter 2
006,the-birth-of-lord-krishna,The Birth of Lord Krishna,krishna_book_bedtime,krishna_book,Krishna Book Chapter 3,Complete Krishna Book Chapter 3,"This source-bounded episode follows The Birth of Lord Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MINI_DRAMA,central event of Chapter 3|chronological source boundary|devotional lesson,full source quotation|material from Chapter 2|material from Chapter 4,Opening of Krishna Book Chapter 3,Conclusion of Krishna Book Chapter 3
007,kamsa-begins-his-persecutions,Kamsa Begins His Persecutions,krishna_book_bedtime,krishna_book,Krishna Book Chapter 4,SB 10.4 / Complete Krishna Book Chapter 4,"Yoga-māyā cries; guards tell Kaṁsa; he rushes; Devakī pleads; he attempts to destroy the child; Yoga-māyā rises as eight-armed Durgā saying the enemy already appeared elsewhere; Kaṁsa releases and asks forgiveness; Vasudeva teaches bodily identification; ministers advise ten-day persecution and attacks on brāhmaṇas, cows, sages, Vedic culture, and Vaiṣṇavas.",6-12,bedtime_story,,theme=bad association and offenses; sensitivity=gentle child adaptation; activity=STORY_SEQUENCE,Yoga-māyā cries|guards tell Kaṁsa|Kaṁsa rushes to prison|Devakī pleads|attempt against the child child-safe|eight-armed Durgā|enemy already elsewhere|Kaṁsa releases Devakī and Vasudeva|asks forgiveness|bodily identification|demonic ministers|ten days|brāhmaṇas cows sages Vaiṣṇavas|persecution authorized,full source quotation|material from Chapter 5|every baby boy|named demon list not in Chapter 4|magicians potions|families fleeing rivers|Devakī Vasudeva remain imprisoned after release|absolute claim Krishna prevents all suffering,Opening of Krishna Book Chapter 4,Conclusion of Krishna Book Chapter 4
008,the-meeting-of-nanda-and-vasudeva,The Meeting of Nanda and Vasudeva,krishna_book_bedtime,krishna_book,Krishna Book Chapter 5,Complete Krishna Book Chapter 5,"This source-bounded episode follows The Meeting of Nanda and Vasudeva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_MAP,central event of Chapter 5|chronological source boundary|devotional lesson,full source quotation|material from Chapter 4|material from Chapter 6,Opening of Krishna Book Chapter 5,Conclusion of Krishna Book Chapter 5
009,putana-krishnas-astonishing-mercy,Pūtanā — Kṛṣṇa’s Astonishing Mercy,krishna_book_bedtime,krishna_book,Krishna Book Chapter 6,SB 10.6 / Complete Krishna Book Chapter 6 — Putana Killed,"After Nanda remembers Vasudeva's warning and takes shelter of the Lord, Kamsa sends the raksasi Putana, who kills infants. She assumes a beautiful form, enters Gokula and Nanda's home, takes baby Krishna on her lap, and offers her poison-smeared breast. Krishna sucks out the poison and her life air; she reveals a gigantic form and falls. Krishna plays fearlessly on her body. Yasoda, Rohini, and the gopis lift Him and perform protective rites while remembering Vishnu's names. Nanda and the cowherd men return. When Putana's body is burned it gives a fragrant aroma because Krishna purified her, and He grants her a motherly destination despite her murderous intention. Faithful hearing brings attachment to Govinda.",6-12,bedtime_story,,theme=astonishing mercy and motherly service; sensitivity=gentle child adaptation required; activity=STORY_SEQUENCE,Nanda remembers Vasudeva warning and takes shelter|Kamsa sends Putana who kills infants|Putana beautiful form enters Gokula|Putana enters Nanda home takes Krishna on lap|Krishna closes eyes|poison-smeared breast|Krishna sucks poison and life air|gigantic form falls|Krishna plays safely on her body|Yasoda Rohini gopis protect remembering Vishnu names|Nanda and cowherd men return|body burned fragrant aroma purified|motherly nurse-like destination mercy|hearing pastime attachment to Govinda|central lesson Krishna magnifies appearance of service,universe in Krishna's mouth|universal form in mouth|yawning showed the universe|Trinavarta|whirlwind demon|storm demon|goblins circling Gokula|spirits circling|shadow-creatures|fabricated omens|after Putana's defeat|Putana already defeated|Putana was already|material from Chapter 7|material from Chapter 8|Sukadeva became a devotee only by Putana episode,Opening of Krishna Book Chapter 6 — Nanda takes shelter; Putana sent,Conclusion of Krishna Book Chapter 6 — fragrant pyre and mercy teaching
010,baby-krishna-breaks-the-cart,Baby Kṛṣṇa Breaks the Cart,krishna_book_bedtime,krishna_book,Krishna Book Chapter 7,SB 10.7 / Krishna Book Chapter 7 — cart-breaking (utthāna / handcart),"At Kṛṣṇa's childhood turning/birthday ceremony, Mother Yaśodā lays hungry baby Kṛṣṇa beneath a handcart. He kicks in hunger; the cart collapses. Children report what they saw; adults cannot understand His power. Brāhmaṇas perform protective rites and Nanda gives charity.",6-12,bedtime_story,,theme=the Lord's power even as a baby; sensitivity=standard; activity=STORY_SEQUENCE; v1.7.3_ch7_8_split,utthana or birthday ceremony|handcart|hungry kick|cart collapses|children report|brahmanas protective rites|Nanda charity,Trinavarta whirlwind as main event|universe in mouth|Garga Muni|material from Chapter 6 Putana|dirt eating,Childhood turning / first birthday ceremony begins,Protective rites and charity after the cart collapses
011,the-salvation-of-trinavarta,The Salvation of Tṛṇāvarta,krishna_book_bedtime,krishna_book,Krishna Book Chapter 7,SB 10.7 / Krishna Book Chapter 7 — Tṛṇāvarta whirlwind,"Kṛṣṇa becomes unbearably heavy in Yaśodā's lap; she places Him on the ground. Tṛṇāvarta arrives as a whirlwind, covers Gokula in dust, and carries Him up. Kṛṣṇa becomes heavy, catches the demon's neck; Tṛṇāvarta falls and Kṛṣṇa remains safe. Residents recover Him and remember Vasudeva's warning.",6-12,bedtime_story,,theme=protection from the whirlwind demon; sensitivity=standard; activity=DRAW_AND_REFLECT; v1.7.3_ch7_8_split,heavy in Yasoda lap|Trinavarta whirlwind|dust storm|searches for Krishna|catches neck|demon falls|Krishna safe|Vasudeva warning remembered,cart breaking as main event|universe in mouth while nursing|Garga Muni|Chapter 8 dirt eating,Kṛṣṇa becomes heavy in Yaśodā's lap,Residents recover Kṛṣṇa; Nanda remembers Vasudeva
012,yasoda-sees-the-universe-while-krishna-yawns,Yaśodā Sees the Universe While Kṛṣṇa Yawns,krishna_book_bedtime,krishna_book,Krishna Book Chapter 7,SB 10.7 / Krishna Book Chapter 7 — first universal-mouth manifestation,"While Yaśodā nurses Kṛṣṇa, He yawns and she sees the universe within His mouth for the first time — sky, luminaries, seas, mountains, and living beings — distinct from the later dirt-eating vision.",6-12,bedtime_story,,"theme=God is always God, even as a nursing child; sensitivity=standard; activity=REFLECT_AND_DRAW; v1.7.3_ch7_8_split",nursing|yawn|universe within mouth|first manifestation|distinct from dirt-eating vision,dirt eating accusation|Garga Muni name-giving|Trinavarta as main event|Chapter 8 substitute,Yaśodā nurses Kṛṣṇa after Tṛṇāvarta,First vision of the universe in His mouth while yawning
013,garga-muni-names-krishna-and-balarama,Garga Muni Names Kṛṣṇa and Balarāma,krishna_book_bedtime,krishna_book,Krishna Book Chapter 8,SB 10.8 / Krishna Book Chapter 8 — secret name-giving,"Garga Muni comes secretly to Nanda's home. A quiet name-giving ceremony is performed. He explains names and meanings of Balarāma (Rāma, Baladeva, Saṅkarṣaṇa) and Kṛṣṇa / Vāsudeva, with prophecies of protection and future pastimes.",6-12,bedtime_story,,theme=sacred names and careful protection; sensitivity=standard; activity=NAME_MEANING_MATCH; v1.7.3_ch7_8_split,Garga Muni|secret ceremony|Balarama names|Krishna Vasudeva|prophecies|Kamsa caution,dirt eating|universal form in mouth as main event|butter theft complaints as main|Chapter 7 cart,Garga Muni arrives at Nanda's home,Garga returns; Nanda feels most fortunate
014,krishna-and-balaramas-crawling-adventures,Kṛṣṇa and Balarāma’s Crawling Adventures,krishna_book_bedtime,krishna_book,Krishna Book Chapter 8,SB 10.8 / Krishna Book Chapter 8 — crawling pastimes,"Kṛṣṇa and Balarāma crawl with ankle bells, play in clay, catch calves' tails, and are protected by Yaśodā and Rohiṇī from animals, water, fire, and danger.",6-12,bedtime_story,,theme=joyful childhood and motherly care; sensitivity=standard; activity=DRAW_AND_REFLECT; v1.7.3_ch7_8_split,crawling|ankle bells|clay|calves tails|mothers protect|animals water fire,butter theft as main|dirt eating|universal form|Garga ceremony as main,Boys begin crawling after name-giving,Mothers' protection as the boys begin to walk
015,the-gopis-complain-about-butter-theft,The Gopīs Complain About Butter Theft,krishna_book_bedtime,krishna_book,Krishna Book Chapter 8,SB 10.8 / Krishna Book Chapter 8 — butter and yogurt mischief,"Loving gopīs complain to Yaśodā about butter, yogurt, and milk mischief — loosing calves, feeding monkeys, breaking pots — while Kṛṣṇa sits looking innocent.",6-12,bedtime_story,,theme=loving complaints and soft motherly affection; sensitivity=standard; activity=STORY_SEQUENCE; v1.7.3_ch7_8_split,gopis complain|butter yogurt milk|calves loosed|monkeys|Yasoda soft response|innocent face,dirt eating|universal form|Garga Muni|Damodara rope-binding from Chapter 9,Gopīs assemble to lodge complaints,Yaśodā smiles and withholds harsh chastisement
016,krishna-eats-dirt-and-reveals-the-universe,Kṛṣṇa Eats Dirt and Reveals the Universe,krishna_book_bedtime,krishna_book,Krishna Book Chapter 8,SB 10.8 / Krishna Book Chapter 8 — dirt-eating universal form,"Friends accuse Kṛṣṇa of eating dirt. He opens His mouth; Yaśodā sees the complete cosmic manifestation. She reflects philosophically; yoga-māyā restores maternal affection. The Droṇa-Dharā benediction explains Nanda and Yaśodā's fortune. This is the second universal-form vision, distinct from Chapter 7's yawning vision.",6-12,bedtime_story,,theme=the Lord reveals and then restores motherly love; sensitivity=standard; activity=REFLECT_AND_DRAW; v1.7.3_ch7_8_split,dirt eating accusation|opens mouth|cosmic manifestation|philosophical reflection|yoga-maya|Drona Dhara|second universal form distinct from yawn vision,Chapter 7 yawn vision as the same event|Trinavarta|cart breaking|Chapter 9 Damodara binding,Boys complain that Kṛṣṇa ate clay,Droṇa-Dharā benediction; childhood bliss in Vraja
017,mother-yasoda-binds-lord-krishna,Mother Yasoda Binds Lord Krishna,krishna_book_bedtime,krishna_book,Krishna Book Chapter 9,Complete Krishna Book Chapter 9,"This source-bounded episode follows Mother Yasoda Binds Lord Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MINI_DRAMA,central event of Chapter 9|chronological source boundary|devotional lesson,full source quotation|material from Chapter 8|material from Chapter 10,Opening of Krishna Book Chapter 9,Conclusion of Krishna Book Chapter 9
018,the-deliverance-of-nalakuvara-and-manigriva,The Deliverance of Nalakuvara and Manigriva,krishna_book_bedtime,krishna_book,Krishna Book Chapter 10,Complete Krishna Book Chapter 10,"This source-bounded episode follows The Deliverance of Nalakuvara and Manigriva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MATCHING_GAME,central event of Chapter 10|chronological source boundary|devotional lesson,full source quotation|material from Chapter 9|material from Chapter 11,Opening of Krishna Book Chapter 10,Conclusion of Krishna Book Chapter 10
019,krishna-protects-the-calves-from-vatsasura-and-bakasura,Krishna Protects the Calves from Vatsasura and Bakasura,krishna_book_bedtime,krishna_book,Krishna Book Chapter 11,Complete Krishna Book Chapter 11,"This source-bounded episode follows Killing the Demons Vatsasura and Bakasura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=STORY_MAP,central event of Chapter 11|chronological source boundary|devotional lesson,full source quotation|material from Chapter 10|material from Chapter 12,Opening of Krishna Book Chapter 11,Conclusion of Krishna Book Chapter 11
020,krishna-protects-everyone-from-the-aghasura-demon,Krishna Protects Everyone from the Aghasura Demon,krishna_book_bedtime,krishna_book,Krishna Book Chapter 12,Complete Krishna Book Chapter 12,"This source-bounded episode follows The Killing of the Aghasura Demon and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=FAMILY_MISSION,central event of Chapter 12|chronological source boundary|devotional lesson,full source quotation|material from Chapter 11|material from Chapter 13,Opening of Krishna Book Chapter 12,Conclusion of Krishna Book Chapter 12
021,the-stealing-of-the-boys-and-calves-by-brahma,The Stealing of the Boys and Calves by Brahma,krishna_book_bedtime,krishna_book,Krishna Book Chapter 13,Complete Krishna Book Chapter 13,"This source-bounded episode follows The Stealing of the Boys and Calves by Brahma and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=DRAW_AND_REFLECT,central event of Chapter 13|chronological source boundary|devotional lesson,full source quotation|material from Chapter 12|material from Chapter 14,Opening of Krishna Book Chapter 13,Conclusion of Krishna Book Chapter 13
