requirement_id,description,source,implementation_paths,validation_method,evidence_paths,status,finding_ids,reviewer,decision_date,deferral
P1-F01,Four lenses one canonical text,06_PHASE1+CONTENT_MODEL,apps/web components+packages (future),hash unit+e2e,REQUIREMENTS.md|TEST_AND_SECURITY_PLAN.md,NOT_STARTED,R11,,,
P1-F02,Show Deva/IAST/EN/source/status,06_PHASE1,preview page (future),visual+a11y,UX_SPEC.md,BLOCKED,R01,,,await OD-14 text
P1-F03,Optional stanza artwork,03_UX+ASSET_POLICY,assets.json (future),visual QA,ASSET_POLICY.md|VISUAL_DIRECTIONS.md,NOT_STARTED,OD-01,,,
P1-F04,Linear+focus mode,03_UX,focus island (future),e2e keyboard,UX_SPEC.md|wireframes,NOT_STARTED,,,,
P1-F05,Preserve position/focus,06_PHASE1,lens state (future),e2e a11y,ADR-005,NOT_STARTED,,,,
P1-F06,Source progressive disclosure,06_PHASE1,source panel (future),UX review,UX_SPEC.md,NOT_STARTED,,,,
P1-F07,PDF+DOCX same version,06_PHASE1+ADR-006,export module (future),export suite,ADR-006|TEST_AND_SECURITY_PLAN.md,NOT_STARTED,R13|OD-02|OD-03|OD-04,,,
P1-F08,Studio 348 visibility,06_PHASE1,studio/knowledge (future),e2e pagination,ARCHITECTURE.md,NOT_STARTED,R12,,,
P1-F09,No public leak research/paths,06_PHASE1+D06,middleware+loader+API (future),security tests,ADR-002|ADR-003|ADR-004,NOT_STARTED,R03|R05|R06,,,
P1-F10,Related approved only,06_PHASE1,related links (future),link audit,REQUIREMENTS.md,NOT_STARTED,,,,
P1-U01,WCAG 2.2 AA target,06_PHASE1,preview UI (future),axe+manual,UX_SPEC.md|TEST_AND_SECURITY_PLAN.md,NOT_STARTED,,,,
P1-U02,44px child targets,06_PHASE1,CSS token (future),visual+e2e,UX_SPEC.md,NOT_STARTED,,,,
P1-U03,320/zoom no clip,06_PHASE1,layout (future),visual matrix,wireframes,NOT_STARTED,,,,
P1-U04,Reduced motion,06_PHASE1,CSS/JS (future),e2e,UX_SPEC.md,NOT_STARTED,,,,
P1-U05,Alt/decorative art,06_PHASE1,ASSET_POLICY,review+axe,ASSET_POLICY.md,NOT_STARTED,,,,
P1-U06,Shared brand lenses,03_UX,tokens,design review,VISUAL_DIRECTIONS.md,NOT_STARTED,OD-01,,,
P1-U07,No child account/tracking,06_PHASE1,privacy posture,privacy audit,ARCHITECTURE.md,NOT_STARTED,,,,
P1-E01,Hash parity lenses/exports,06_PHASE1,hash helpers (future),unit+export,CONTENT_MODEL.md|ADR-006,NOT_STARTED,OD-04,,,
P1-E02,Unicode NFC+fixtures,06_PHASE1,fonts+fixtures (future),unicode suite,UX_SPEC.md,NOT_STARTED,R10|OD-13,,,
P1-E03,Preserve chars/boundaries,06_PHASE1,export,extract tests,TEST_AND_SECURITY_PLAN.md,NOT_STARTED,,,,
P1-E04,PDF capability not PDF/UA,06_PHASE1,reportlab,spike evidence,ADR-006,NOT_STARTED,R13|OD-03,,,
P1-E05,DOCX semantic fidelity,06_PHASE1,python-docx (after OD-02),docx suite,ADR-006,NOT_STARTED,OD-02,,,
P1-E06,Letter+A4 layout,06_PHASE1,templates,visual QA,wireframes,NOT_STARTED,,,,
P1-E07,Export manifest hashes,06_PHASE1,manifest,integration,CONTENT_MODEL.md,NOT_STARTED,,,,
P1-P01,Loopback-only preview D06,OWNER_DECISIONS,auth+routes,security,ADR-003,NOT_STARTED,,,,
P1-P02,Specify footer civil-name removal D05,OWNER_DECISIONS,docs only P01B,spec review,UX_SPEC.md|OWNER_OPEN_DECISIONS.md,OWNER_DEFERRED,R07,owner,2026-08-07,implement later OD-08
P1-S01,Studio pagination 348,P01A R12,studio UI,e2e,ARCHITECTURE.md,NOT_STARTED,R12,,,
P1-S02,Explain non-public roadmap,06_PHASE1 exit,studio copy,UX review,ARCHITECTURE.md,NOT_STARTED,,,,
